MarkerName,Effect,StdErr,P-value,Direction,HetISq,HetChiSq,HetDf,HetPVal,CpG_chrm,CpG_beg,CpG_end,probe_strand,genesUniq,geneNames,transcriptTypes,transcriptIDs,distToTSS,CGI,CGIposition,snpID,snpChrm,snpEnd,snpRef,snpAlt,GAN,GAC,GAF,distance
cg4942,0.9649,0.0166,0,-+,84.4,6.422,1,0.01127,,,,,,,,,,,,,,,,,,,,
cg3456,0.4397,0.0042,0,-+,0,0.968,1,0.3253,,,,,,,,,,,,,,,,,,,,
cg2612,0.7148,0.0088,0,++,0,0.194,1,0.6599,,,,,,,,,,,,,,,,,,,,
cg3275,0.2491,0.0032,0,++,0,0,1,0.9918,,,,,,,,,,,,,,,,,,,,
cg1066,0.3696,0.0082,0,++,0,0.21,1,0.647,,,,,,,,,,,,,,,,,,,,
cg4547,-0.2194,0.0019,0,--,0,0.733,1,0.3919,,,,,,,,,,,,,,,,,,,,
cg4509,0.5073,0.0112,0,++,0,0.248,1,0.6182,,,,,,,,,,,,,,,,,,,,
cg1247,-0.5787,0.014,0,+-,90.3,10.361,1,0.001287,,,,,,,,,,,,,,,,,,,,
cg1298,-0.1638,0.0027,0,--,0,0.017,1,0.895,,,,,,,,,,,,,,,,,,,,
cg2252,0.4646,0.0054,0,-+,91.5,11.765,1,0.0006036,,,,,,,,,,,,,,,,,,,,
cg2045,0.6062,0.0134,0,-+,72.5,3.637,1,0.05651,,,,,,,,,,,,,,,,,,,,
cg4971,0.1979,0.0032,0,++,0,0.017,1,0.895,,,,,,,,,,,,,,,,,,,,
cg4033,-0.4756,0.0119,0,+-,69.7,3.303,1,0.06915,,,,,,,,,,,,,,,,,,,,
cg4921,0.3689,0.0081,0,-+,0,0.334,1,0.5632,,,,,,,,,,,,,,,,,,,,
cg3435,0.2428,0.0055,0,-+,59.8,2.486,1,0.1148,,,,,,,,,,,,,,,,,,,,
cg3533,-0.9154,0.0212,0,+-,99.5,184.718,1,4.523e-42,,,,,,,,,,,,,,,,,,,,
cg738,0.8331,0.0133,0,-+,71.3,3.488,1,0.06181,,,,,,,,,,,,,,,,,,,,
cg2569,-0.9551,0.0161,0,+-,86.7,7.531,1,0.006066,,,,,,,,,,,,,,,,,,,,
cg1849,-0.4659,0.007,0,+-,81.8,5.493,1,0.01909,,,,,,,,,,,,,,,,,,,,
cg2112,0.3571,0.0036,0,++,0,0.064,1,0.8004,,,,,,,,,,,,,,,,,,,,
cg14,0.4811,0.0016,0,-+,82.2,5.631,1,0.01764,,,,,,,,,,,,,,,,,,,,
cg1582,0.4964,0.0051,0,-+,1.1,1.011,1,0.3146,,,,,,,,,,,,,,,,,,,,
cg1693,-0.0291,6e-04,0,--,76.7,4.296,1,0.0382,,,,,,,,,,,,,,,,,,,,
cg2551,-0.3314,0.0014,0,--,0,0.145,1,0.7033,,,,,,,,,,,,,,,,,,,,
cg4219,0.4042,0.0056,0,++,0,0.089,1,0.7654,,,,,,,,,,,,,,,,,,,,
cg3966,0.4878,0.0035,0,++,0,0.197,1,0.6571,,,,,,,,,,,,,,,,,,,,
cg1351,-0.4866,0.005,0,+-,16.7,1.2,1,0.2733,,,,,,,,,,,,,,,,,,,,
cg1248,0.5912,0.0134,0,-+,0,0.309,1,0.5782,,,,,,,,,,,,,,,,,,,,
cg1532,0.5484,0.0036,0,-+,81.1,5.304,1,0.02128,,,,,,,,,,,,,,,,,,,,
cg1858,-0.679,0.0093,0,--,0,0.743,1,0.3886,,,,,,,,,,,,,,,,,,,,
cg3110,-0.6766,0.0082,0,--,0,0.017,1,0.8959,,,,,,,,,,,,,,,,,,,,
cg752,0.4891,0.0069,0,++,0,0.361,1,0.5481,,,,,,,,,,,,,,,,,,,,
cg1920,-0.2423,0.001,0,--,0,0.006,1,0.9391,,,,,,,,,,,,,,,,,,,,
cg3437,-0.7791,0.0135,0,--,95.5,22.13,1,2.548e-06,,,,,,,,,,,,,,,,,,,,
cg1138,0.4959,0.0069,0,++,0,0.212,1,0.6452,,,,,,,,,,,,,,,,,,,,
cg4228,-0.8865,0.017,0,+-,98.7,74.226,1,6.966e-18,,,,,,,,,,,,,,,,,,,,
cg2300,-0.3406,0.0054,0,--,66.1,2.952,1,0.08576,,,,,,,,,,,,,,,,,,,,
cg189,0.6252,0.007,0,-+,81.3,5.344,1,0.02079,,,,,,,,,,,,,,,,,,,,
cg492,-0.6246,0.0098,0,--,0,0.088,1,0.7673,,,,,,,,,,,,,,,,,,,,
cg3101,0.5841,0.0024,0,-+,60.8,2.551,1,0.1103,,,,,,,,,,,,,,,,,,,,
cg4869,0.8426,0.0075,0,-+,67.5,3.076,1,0.07944,,,,,,,,,,,,,,,,,,,,
cg1122,0.4235,0.0066,0,++,0,0.095,1,0.7581,,,,,,,,,,,,,,,,,,,,
cg101,0.2872,0.005,0,-+,6.7,1.072,1,0.3006,,,,,,,,,,,,,,,,,,,,
cg3749,-0.5807,0.0086,0,--,0,0.331,1,0.565,,,,,,,,,,,,,,,,,,,,
cg4011,0.2198,0.0035,0,-+,0,0.774,1,0.3789,,,,,,,,,,,,,,,,,,,,
cg387,0.3727,0.0046,0,-+,77.2,4.378,1,0.0364,,,,,,,,,,,,,,,,,,,,
cg578,1.0063,0.0119,0,++,88,8.307,1,0.003948,,,,,,,,,,,,,,,,,,,,
cg2402,0.5133,0.0079,0,++,0,0.183,1,0.6685,,,,,,,,,,,,,,,,,,,,
cg4737,0.844,0.0047,0,++,0,0.326,1,0.5681,,,,,,,,,,,,,,,,,,,,
cg4708,-0.6999,0.012,0,+-,0,0.968,1,0.3252,,,,,,,,,,,,,,,,,,,,
cg204,0.5491,0.0041,0,++,0,0.002,1,0.9602,,,,,,,,,,,,,,,,,,,,
cg280,-0.3272,0.0069,0,+-,58.4,2.405,1,0.1209,,,,,,,,,,,,,,,,,,,,
cg4762,-0.683,0.0042,0,--,0,0.174,1,0.6761,,,,,,,,,,,,,,,,,,,,
cg4516,0.3538,1e-04,0,++,0,0.133,1,0.7152,,,,,,,,,,,,,,,,,,,,
cg977,-0.7432,0.0101,0,--,0,0.768,1,0.3807,,,,,,,,,,,,,,,,,,,,
cg3293,0.9361,0.0088,0,-+,89.7,9.703,1,0.001839,,,,,,,,,,,,,,,,,,,,
cg2240,0.525,0.0055,0,++,0,0.006,1,0.9407,,,,,,,,,,,,,,,,,,,,
cg3834,0.0573,0.0011,0,-+,92.3,12.908,1,0.0003271,,,,,,,,,,,,,,,,,,,,
cg4556,0.3958,0.0012,0,-+,75.3,4.05,1,0.04417,,,,,,,,,,,,,,,,,,,,
cg1972,-0.5035,0.0127,0,--,0,0.119,1,0.7305,,,,,,,,,,,,,,,,,,,,
cg4459,-0.1122,0.0025,0,+-,0,0.39,1,0.5324,,,,,,,,,,,,,,,,,,,,
cg2942,-0.715,0.0175,0,+-,94.7,19.02,1,1.294e-05,,,,,,,,,,,,,,,,,,,,
cg1475,0.6336,0.0134,0,-+,95.3,21.184,1,4.172e-06,,,,,,,,,,,,,,,,,,,,
cg2414,-0.2853,0.0043,0,--,85.8,7.022,1,0.008052,,,,,,,,,,,,,,,,,,,,
cg1069,-0.2255,0.0017,0,+-,72.8,3.683,1,0.05497,,,,,,,,,,,,,,,,,,,,
cg2303,-0.7968,0.0118,0,+-,19.2,1.237,1,0.266,,,,,,,,,,,,,,,,,,,,
cg1342,-0.8439,0.0135,0,+-,49.6,1.985,1,0.1589,,,,,,,,,,,,,,,,,,,,
cg2467,-0.9411,0.0166,0,+-,52.7,2.116,1,0.1458,,,,,,,,,,,,,,,,,,,,
cg2079,-0.3648,0,0,--,0,0.203,1,0.6525,,,,,,,,,,,,,,,,,,,,
cg531,0.168,0.0017,0,-+,0,0.076,1,0.7825,,,,,,,,,,,,,,,,,,,,
cg1642,0.7082,0.0171,0,++,13.7,1.159,1,0.2817,,,,,,,,,,,,,,,,,,,,
cg2988,1.0043,0.0241,0,-+,70.6,3.404,1,0.06505,,,,,,,,,,,,,,,,,,,,
cg1692,-0.2898,0,0,--,0,0,1,0.9898,,,,,,,,,,,,,,,,,,,,
cg4437,-0.3723,0.0089,0,+-,96.4,27.611,1,1.483e-07,,,,,,,,,,,,,,,,,,,,
cg3016,-0.7668,0.0145,0,+-,81.1,5.302,1,0.0213,,,,,,,,,,,,,,,,,,,,
cg3742,-0.451,0.0073,0,--,0,0.006,1,0.9359,,,,,,,,,,,,,,,,,,,,
cg2833,0.658,0.0125,0,-+,65.8,2.925,1,0.08721,,,,,,,,,,,,,,,,,,,,
cg2163,-0.8047,0.012,0,+-,93.2,14.642,1,0.00013,,,,,,,,,,,,,,,,,,,,
cg82,-0.9071,0.0184,0,--,25.3,1.338,1,0.2474,,,,,,,,,,,,,,,,,,,,
cg4123,-0.669,0.0156,0,+-,96.6,29.013,1,7.19e-08,,,,,,,,,,,,,,,,,,,,
cg2686,-0.5109,0.0097,0,+-,76.1,4.188,1,0.04071,,,,,,,,,,,,,,,,,,,,
cg2297,-0.3908,0.0059,0,+-,97,33.212,1,8.263e-09,,,,,,,,,,,,,,,,,,,,
cg3703,0.6421,0.0027,0,++,0,0.009,1,0.9259,,,,,,,,,,,,,,,,,,,,
cg2824,0.5245,0.0128,0,-+,4.9,1.051,1,0.3052,,,,,,,,,,,,,,,,,,,,
cg426,0.851,7e-04,0,++,0,0.096,1,0.757,,,,,,,,,,,,,,,,,,,,
cg917,-0.1648,0.0031,0,--,42.4,1.736,1,0.1877,,,,,,,,,,,,,,,,,,,,
cg4718,-0.3976,0.0108,5.93e-298,+-,66.1,2.953,1,0.08574,,,,,,,,,,,,,,,,,,,,
cg1742,-0.5772,0.0163,1.36e-273,+-,0,0.918,1,0.3379,,,,,,,,,,,,,,,,,,,,
cg2018,-0.6534,0.0187,2.86e-268,--,0,0.017,1,0.8976,,,,,,,,,,,,,,,,,,,,
cg2174,0.6568,0.0188,4.33e-266,++,0,0.059,1,0.8081,,,,,,,,,,,,,,,,,,,,
cg3540,0.5283,0.0154,5.56e-257,-+,91.7,11.981,1,0.0005375,,,,,,,,,,,,,,,,,,,,
cg2865,0.8999,0.0263,1.35e-256,++,0,0.738,1,0.3902,,,,,,,,,,,,,,,,,,,,
cg170,-0.0716,0.0021,6.03e-250,--,0,0.129,1,0.7194,,,,,,,,,,,,,,,,,,,,
cg478,-0.387,0.0115,2.02e-247,+-,84.2,6.337,1,0.01182,,,,,,,,,,,,,,,,,,,,
cg2170,-0.2813,0.0085,1.71e-242,--,0,0,1,0.996,,,,,,,,,,,,,,,,,,,,
cg2070,-0.533,0.0161,1.39e-240,--,0,0.924,1,0.3365,,,,,,,,,,,,,,,,,,,,
cg2622,-0.2971,0.009,3.68e-240,+-,95,19.823,1,8.496e-06,,,,,,,,,,,,,,,,,,,,
cg324,0.65,0.02,2.45e-232,-+,81,5.254,1,0.02189,,,,,,,,,,,,,,,,,,,,
cg2196,-0.4894,0.0152,1.63e-228,--,0,0,1,0.9893,,,,,,,,,,,,,,,,,,,,
