set	title	curated_for_array	platforms_publishing	n_platforms	role	source	citation
ABCompartment	A/B compartments	yes	EPIC;EPICv2;MSA;HM450;HM27;Mammal40	6	biological	GM12878 subcompartments, GSE63525	Rao et al. 2014, Cell, doi:10.1016/j.cell.2014.11.021
Blacklist	Blacklisted regions	yes	EPIC;MSA;HM450	3	design/QC control	ENCODE blacklist v2 (hg38 ENCFF356LFX, mm10 ENCFF547MET)	Amemiya et al. 2019, Sci Rep, doi:10.1038/s41598-019-45839-z
CGI	CpG islands	yes	EPIC;EPICv2;MSA;HM450;HM27;Mammal40	6	biological	UCSC Genome Browser cpgIslandExt track	Gardiner-Garden & Frommer 1987, J Mol Biol, doi:10.1016/0022-2836(87)90689-9
CTCFbind	CTCF binding sites	no	EPIC;EPICv2;MSA;HM450;HM27;Mammal40	6	biological	CTCF sites from Wang et al. 2012	Wang et al. 2012, Genome Res, doi:10.1101/gr.136101.111
Centromere	Centromeres	no	MSA	1	biological	UCSC centromere annotation (inferred from the set name; not recorded in the lab journal)	--
ChromHMM	Chromatin states	yes	EPIC;EPICv2;MSA;HM450;HM27;Mammal40	6	biological	ENCODE chromatin-state segmentations	Ernst & Kellis 2012, Nat Methods, doi:10.1038/nmeth.1906
ChromHMMfullStack	Chromatin states, full stack	no	MSA	1	biological	Ernst lab full-stack annotation	Vu & Ernst 2022, Genome Biol, doi:10.1186/s13059-022-02648-4 (mouse model: Vu & Ernst 2023, doi:10.1186/s13059-023-02994-x)
Chromosome	Chromosome	no	MSA;HM450	2	biological	Reference genome index	--
CoRSIV	Correlated regions of systemic interindividual variation	no	MSA	1	biological	CoRSIV coordinates (upstream download undocumented)	Gunasekara et al. 2019, Genome Biol, doi:10.1186/s13059-019-1708-1 (follow-up: 2023, doi:10.1186/s13059-022-02827-3)
EvoCons	Evolutionary conservation	no	MSA	1	biological	UCSC phastCons 60-way	Siepel et al. 2005, Genome Res, doi:10.1101/gr.3715005
G4peaksHighConfidence	G-quadruplexes	no	MSA	1	biological	G4-seq whole-genome G4 maps (K+ and PDS conditions). Identification inferred from the set name, not recorded in the lab journal.	Marsico et al. 2019, Nucleic Acids Res, doi:10.1093/nar/gkz179 (inferred)
HM	Histone modifications	yes	EPIC;EPICv2;MSA;HM450;HM27;Mammal40	6	biological	Cistrome Data Browser histone ChIP-seq	Zheng et al. 2019, Nucleic Acids Res, doi:10.1093/nar/gky1094
ImprintingDMR	Imprinted DMRs	yes	EPIC;EPICv2;MSA;HM450;HM27;Mammal40	6	control (positive)	Court et al. 2014 supplementary table 1	Court et al. 2014, Genome Res, doi:10.1101/gr.164913.113 (PMID 24402520)
InfiniumChemistry	Infinium chemistry	no	EPIC;EPICv2;MSA;HM450;HM27;Mammal40	6	design/QC control	Infinium platform manifest	--
IntergenicCpGs	Intergenic CpGs	no	MSA	1	biological	GENCODE	--
IntermediateMeth	Intermediate methylation	no	MSA	1	biological	WGBS compendium, MSA design work	--
MetagenePC	Metagene position	yes	EPIC;EPICv2;MSA;HM450;HM27;Mammal40	6	biological	GENCODE v36 (hg38) / vM25 (mm10), protein-coding transcripts >1 kb	Frankish et al. 2019, Nucleic Acids Res, doi:10.1093/nar/gky955
